dt,constraint_family_num,dam,rtm
2025-05-10,705,-47.4892,-149.2144
2025-05-10,716,-2.1161,-125.7046
2025-05-10,902,-44.3256,-0.5726
2025-05-10,951,-20.139300000000002,0.0
2025-05-10,960,-413.7503,0.0
2025-05-10,977,-53.0043,0.0
2025-05-10,1037,-3.0184,0.0
2025-05-10,1082,-178.3542,0.0
2025-05-10,1087,-11.803899999999999,0.0
2025-05-10,6299,0.0,-67.1591
2025-05-10,14969,-36.356,0.0
2025-05-10,40970,-78.8919,0.0
2025-05-10,92444,-65.4119,0.0
2025-05-10,274585,-181.5836,0.0
2025-05-10,283171,-0.7915,-75.1484
2025-05-10,301799,0.0,-299.6563
2025-05-10,313383,-16.7812,0.0
2025-05-10,515297,-51.6636,0.0
2025-05-10,603360,0.0,-168.523
2025-05-10,606647,-831.5004,0.0
2025-05-10,1121925,-8.183399999999999,0.0
2025-05-10,1198573,-640.4574,0.0
2025-05-10,1223642,-19.4775,0.0
2025-05-10,1223829,-162.93120000000002,0.0
2025-05-10,1223843,-6.3024000000000004,0.0
2025-05-10,1223945,-38.1249,0.0
2025-05-10,1224457,-42.6449,0.0
2025-05-10,1458283,-12.3756,0.0
2025-05-10,1458885,-21.1899,0.0
2025-05-10,1637512,0.0,-323.2315
2025-05-10,1671070,-18.0308,0.0
2025-05-10,1701051,-81.87270000000001,0.0
2025-05-11,96,-66.6981,-94.85159999999999
2025-05-11,173,-201.1629,0.0
2025-05-11,413,-78.4728,0.0
2025-05-11,414,-1314.6636,0.0
2025-05-11,479,-13.8589,0.0
2025-05-11,480,-293.6023,0.0
2025-05-11,588,-41.5651,0.0
2025-05-11,705,-613.574,-251.7372
2025-05-11,854,-159.0633,-284.9785
2025-05-11,875,-70.4679,0.0
2025-05-11,902,-76.4307,0.0
2025-05-11,940,-254.82940000000002,0.0
2025-05-11,951,-1.3715,0.0
2025-05-11,977,-311.6945,-4.7061
2025-05-11,979,-110.11269999999999,0.0
2025-05-11,1024,-67.72109999999999,0.0
2025-05-11,1037,-26.014699999999998,0.0
2025-05-11,1087,-11.4494,0.0
2025-05-11,40970,-67.2949,0.0
2025-05-11,53209,0.0,-127.4658
2025-05-11,93430,-90.3913,-69.9501
2025-05-11,116734,-4.8248999999999995,0.0
2025-05-11,274585,-773.9297,0.0
2025-05-11,283171,-129.2327,0.0
2025-05-11,298241,-827.5776,0.0
2025-05-11,301799,0.0,-5717.1662
2025-05-11,411728,-690.0615,-168.4005
2025-05-11,449908,-102.7983,0.0
2025-05-11,515936,0.0,-464.32939999999996
2025-05-11,603360,0.0,-1958.1667
2025-05-11,606647,-2365.4871,0.0
2025-05-11,626033,-16.491500000000002,0.0
2025-05-11,931600,0.0,-876.3442
2025-05-11,1001755,-621.3674,0.0
2025-05-11,1121925,-1456.2934,0.0
2025-05-11,1223882,-18.1762,0.0
2025-05-11,1223945,-19.9273,0.0
2025-05-11,1224191,-97.4036,0.0
2025-05-11,1671070,-51.4915,0.0
2025-05-12,294,-0.8365,0.0
2025-05-12,299,0.0,-622.8783999999999
2025-05-12,466,-45.925799999999995,-32.5218
2025-05-12,477,0.0,-1.5639
2025-05-12,480,-223.1247,0.0
2025-05-12,519,0.0,-496.8152
2025-05-12,588,-115.4621,0.0
2025-05-12,593,-558.3602999999999,-156.3671
2025-05-12,603,-245.22109999999998,0.0
2025-05-12,700,-692.2904,0.0
2025-05-12,705,0.0,-111.3547
2025-05-12,749,-126.5151,0.0
2025-05-12,845,-106.05990000000001,-255.7622
2025-05-12,870,-6.9445,0.0
2025-05-12,884,-678.8587,-328.6196
2025-05-12,904,-3.1708,0.0
2025-05-12,940,-9.318100000000001,0.0
2025-05-12,951,-7.4948,0.0
2025-05-12,974,-55.61729999999999,0.0
2025-05-12,977,-4.9935,-1457.0124
2025-05-12,1002,-172.5568,0.0
2025-05-12,1037,-118.1749,0.0
2025-05-12,1063,-40.3284,0.0
2025-05-12,34192,-396.66949999999997,-36.36
2025-05-12,53209,0.0,-1176.0952
2025-05-12,93430,-262.7024,-35.7681
2025-05-12,274585,-2041.8333,0.0
2025-05-12,283171,-111.4188,0.0
2025-05-12,298241,-193.7157,0.0
2025-05-12,301799,0.0,-10030.5958
2025-05-12,313383,-1.3117,0.0
2025-05-12,449908,-12.153,0.0
2025-05-12,498407,-1.5777,0.0
2025-05-12,515297,-11.1381,0.0
2025-05-12,603360,0.0,-921.0532
2025-05-12,606647,-1472.6065,0.0
2025-05-12,663233,-2.0362,0.0
2025-05-12,701981,-20.0807,0.0
2025-05-12,717395,-143.0797,0.0
2025-05-12,881607,0.0,-18.7966
2025-05-12,931600,0.0,-341.595
2025-05-12,972047,-3288.6223,0.0
2025-05-12,1001755,-58.3641,0.0
2025-05-12,1074103,-2.7801,0.0
2025-05-12,1121925,-2099.5466,0.0
2025-05-12,1131614,-7.213,0.0
2025-05-12,1157071,0.0,-51.6509
2025-05-12,1223642,-718.3719,0.0
2025-05-12,1223882,-7.4788,0.0
2025-05-12,1223903,-296.91020000000003,0.0
2025-05-12,1458885,-0.72,0.0
2025-05-12,1671070,-29.6633,0.0
2025-05-12,1671071,-47.3956,0.0
2025-05-13,96,-469.9706,0.0
2025-05-13,146,-292.3764,0.0
2025-05-13,189,-3.7463,-37.5678
2025-05-13,232,-365.5866,0.0
2025-05-13,261,0.0,-8.6002
2025-05-13,281,0.0,-1715.767
2025-05-13,294,-1.3983,0.0
2025-05-13,299,-65.7475,-661.9605
2025-05-13,409,-61.4961,-3.8027
2025-05-13,466,0.0,-15.796800000000001
2025-05-13,477,-157.5749,-354.1464
2025-05-13,480,-12.8743,0.0
2025-05-13,527,-793.7749,-103.3776
2025-05-13,603,-49.9521,-2960.4226
2025-05-13,845,-500.60519999999997,-354.9427
2025-05-13,854,-2.6739,0.0
2025-05-13,870,-248.6822,0.0
2025-05-13,904,-44.1858,-1801.319
2025-05-13,937,-312.0005,0.0
2025-05-13,951,-120.6786,0.0
2025-05-13,964,-49.2444,-1714.8466
2025-05-13,974,-277.27070000000003,0.0
2025-05-13,977,-193.0671,-1080.706
2025-05-13,1002,-549.2546,0.0
2025-05-13,1037,-43.357299999999995,-0.5992
2025-05-13,1063,-1102.3947,-100.94839999999999
2025-05-13,1082,0.0,-410.67920000000004
2025-05-13,1087,-345.8677,0.0
2025-05-13,6299,-0.8866,0.0
2025-05-13,34192,-229.0867,0.0
2025-05-13,40970,-379.9524,0.0
2025-05-13,45156,-67.7684,0.0
2025-05-13,53209,0.0,-3.8208
2025-05-13,109741,-247.5982,0.0
2025-05-13,199867,0.0,-57.1262
2025-05-13,201685,-41.936099999999996,-276.418
2025-05-13,274585,-2254.4667,0.0
2025-05-13,283171,-2215.3909,0.0
2025-05-13,299816,-15.934999999999999,0.0
2025-05-13,301799,0.0,-2341.1375
2025-05-13,449908,-14.8593,0.0
2025-05-13,476719,-173.6763,-5470.3415
2025-05-13,481207,-615.1301,0.0
2025-05-13,515297,-3358.5755,-4.3071
2025-05-13,606647,-112.6183,0.0
2025-05-13,663233,-6.6066,0.0
2025-05-13,717395,-138.0365,0.0
2025-05-13,735517,-42.0821,0.0
2025-05-13,787132,0.0,-21.1662
2025-05-13,881607,0.0,-98.42519999999999
2025-05-13,931600,0.0,-360.28340000000003
2025-05-13,972047,-124.4231,0.0
2025-05-13,1001755,-110.9754,0.0
2025-05-13,1082526,0.0,-19.290799999999997
2025-05-13,1121925,-86.0575,0.0
2025-05-13,1157071,0.0,-19.2542
2025-05-13,1223500,-15.3663,0.0
2025-05-13,1223882,-268.5915,0.0
2025-05-13,1223903,-37.7825,0.0
2025-05-13,1629757,-55.818200000000004,0.0
2025-05-13,1637512,0.0,-263.1813
2025-05-13,1653678,0.0,-6098.508
2025-05-13,1671070,-4.708,0.0
2025-05-13,1671071,-17.0411,0.0
2025-05-14,28,-104.739,-783.8144
2025-05-14,54,-111.1441,0.0
2025-05-14,96,-3215.1197,0.0
2025-05-14,132,0.0,-248.5253
2025-05-14,146,-817.2661,-97.4722
2025-05-14,153,0.0,-151.166
2025-05-14,189,-133.612,-55.4965
2025-05-14,232,-312.6503,0.0
2025-05-14,281,-58.089,-1564.3876
2025-05-14,295,-147.6962,0.0
2025-05-14,299,-227.61180000000002,-836.1801
2025-05-14,347,0.0,-28.1591
2025-05-14,409,0.0,-143.8567
2025-05-14,466,-60.6569,-15.301699999999999
2025-05-14,477,-252.5813,-542.6156000000001
2025-05-14,489,-2704.6191,-173.8764
2025-05-14,592,-42.445800000000006,0.0
2025-05-14,593,-5832.8376,-145.9564
2025-05-14,603,0.0,-4645.3789
2025-05-14,648,-1921.111,-332.4246
2025-05-14,722,-14.821000000000002,0.0
2025-05-14,785,0.0,-538.0902
2025-05-14,803,0.0,-13.4331
2025-05-14,845,-53.5359,0.0
2025-05-14,854,0.0,-595.8723
2025-05-14,870,-600.3884,0.0
2025-05-14,884,-205.9947,-258.2534
2025-05-14,905,-42.171800000000005,0.0
2025-05-14,951,-2.3669000000000002,0.0
2025-05-14,956,0.0,-141.4929
2025-05-14,964,-5.4402,-2154.5304
2025-05-14,974,-104.5486,0.0
2025-05-14,1037,-185.53770000000003,0.0
2025-05-14,1063,-369.1273,0.0
2025-05-14,1082,0.0,-1784.7575
2025-05-14,1087,-29.6293,0.0
2025-05-14,6299,0.0,-6.4072
2025-05-14,6850,-10.4885,0.0
2025-05-14,14969,0.0,-3.5822
2025-05-14,34192,-595.7168,-464.5149
2025-05-14,40970,-37.398399999999995,0.0
2025-05-14,53208,-184.3056,0.0
2025-05-14,93430,0.0,-258.3273
2025-05-14,134424,-14.3047,0.0
2025-05-14,156109,-33.3729,-154.5639
2025-05-14,199867,0.0,-936.1537999999999
2025-05-14,255985,0.0,-31.0368
2025-05-14,274585,-1298.7631999999999,0.0
2025-05-14,283171,-2619.4631,0.0
2025-05-14,283340,0.0,-67.0322
2025-05-14,284668,0.0,-605.9736
2025-05-14,301799,0.0,-652.1156000000001
2025-05-14,341374,-57.6883,0.0
2025-05-14,390730,-3.5338,0.0
2025-05-14,411728,0.0,-414.6551
2025-05-14,481207,-2107.0912,-365.0552
2025-05-14,510053,-26.2055,0.0
2025-05-14,515297,-1969.1956,0.0
2025-05-14,515936,0.0,-242.9539
